,,,,,,,
,LOCATION,TARGET,CS TO UNLOCK,SAFETY ASSESSMENT,RECOMMENDED CASING AMOUNT,SAMPLE SIZE,CASING SUCCESS RATE
,"RESIDENTIAL 
 TARGETS",Tool Shed,1,SAFE,Once,"4,588",80.32%
,,Beach Hut,1,SAFE,Once,"4,949",80.74%
,,Bungalow,1,MODERATELY UNSAFE,1 to 2,"5,294",79.75%
,,Mobile Home,1,SAFE,1 - sometimes 2,"6,578",77.46%
,,Cottage,3,MODERATELY UNSAFE,2 - sometimes 1,"8,833",79.17%
,,Apartment,14,RISKY,4 to 6 - sometimes more,"11,229",79.56%
,,Suburban Home,22,MODERATELY UNSAFE,1 to 2,"7,327",79.84%
,,Secluded Cabin,30,SAFE,1 - sometimes 2,"4,483",80.95%
,,Farmhouse,38,UNSAFE,2 - sometimes 3,"8,502",79.86%
,,Lake House,46,UNSAFE,3 - sometimes more,"11,801",80.04%
,,Luxury Villa,69,RISKY,4 or more,"11,027",80.25%
,,Manor House,100,RISKY,4 to 6,"1,048",78.91%
,"COMMERCIAL 
 TARGETS",Self-Storage Facility,25,UNSAFE,2 to 3,"5,406",79.23%
,,Funeral Directors,25,DANGEROUS,6 or more,"3,894",79.53%
,,Market,25,RISKY,5 or more,"6,473",80.53%
,,Postal Office,25,RISKY,4 to 6,"6,997",80.49%
,,Cleaning Agency,27,SAFE,1 to 2,"6,075",79.75%
,,Barbershop,35,SAFE,1 to 2 - sometimes more,"4,313",80.52%
,,Liquor Store,43,MODERATELY UNSAFE,2 - sometimes 3,"4,159",79.95%
,,Dentists Office,47,SAFE,1 to 2,"3,564",80.22%
,,Chiropractors,56,MODERATELY UNSAFE,2 - sometimes 3,"6,266",79.73%
,,Recruitment Agency,77,RISKY,4 to 6 - sometimes more,"5,574",80.10%
,,Advertising Agency,100,RISKY,4 to 6 - sometimes more,727,79.09%
,"INDUSTRIAL 
 TARGETS",Dockside Warehouse,50,DANGEROUS,7 or more,"10,683",80.01%
,,Farm Storage Unit,50,RISKY,4 to 6,"7,459",79.85%
,,Shipyard,50,VERY DANGEROUS,8 or more,"10,629",79.86%
,,Printing Works,52,VERY DANGEROUS,8 or more,"6,902",79.92%
,,Brewery,60,RISKY,4 to 6,"12,290",79.87%
,,Truckyard,68,SAFE,1 to 2,"4,801",79.50%
,,Old Factory,76,SAFE,1 - sometimes 2,"3,452",79.23%
,,Slaughterhouse,84,SAFE,1 to 2 - rarely 3,"2,446",78.90%
,,Paper Mill,92,UNSAFE,2 to 3,"2,862",80.57%
,,Foundry,96,MODERATELY UNSAFE,2 - sometimes 3,"1,319",80.06%
,,Fertilizer Plant,100,UNSAFE,2 to 3,572,82.52%
,,,,,,,
,SAFE,Target can be burgled easily with a single casing attempt Strongly recommended.,,,,,
,MODERATELY UNSAFE,Target may require one or two casings to burgle. Very much doable.,,,,,
,UNSAFE,Target requires a few casing attempts to burgle.,,,,,
,RISKY,Target requires 4-6 casing attempts to burgle. Consider looking for a different target.,,,,,
,DANGEROUS,Target requires 6+ casing attempts to burgle. Case only at night or switch targets.,,,,,
,VERY DANGEROUS,"Target requires 8+ casing attempts to burgle. Unless loot is the goal, avoid entirely.",,,,,
,UNKNOWN,No data regarding this location. Safety assessment pending.,,,,,
,,,,,,,
,"Recommended casing amount is the number of casings needed to reach 50% confidence - locations where casings increase confidence by a small amount will require additional casings. It does not consider success rate.
Confidence gain on casing increases as skill level increases. Unsafe locations may become safer with high skill level.
 
Casing success rate may be inaccurate for some locations where sample size is too small (mainly max skill ones)",,,,,,
