,,,,,,,,,,,,,,,,,,,,,,
,Scouted targets by location and skill level,,,,,,,,,,,,,,,,,,,,,
,Target,Skill level (max),,,,,,,,,,,,,,,,,,,,
,,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99,100
,Any (residential),"1,571","1,270","1,398","1,735","1,668","1,322","1,426","1,829","1,666","1,791","1,789","1,804","1,969","2,411","2,821","2,848","2,372","2,265","2,328","2,195","1,517"
,Any (commercial),0,0,0,0,226,863,861,"1,002","1,127","1,111",671,"1,032","1,328","1,302","1,190","1,352","1,516","1,526","1,169",836,"1,507"
,Any (industrial),0,0,0,0,0,0,0,0,0,256,790,811,899,659,814,990,"1,597","1,987","2,584","2,790","1,142"
,Tool Shed,317,243,224,222,206,128,123,157,115,96,76,90,100,98,137,128,102,91,90,85,50
,Beach Hut,335,239,202,224,196,131,141,132,85,97,82,88,105,117,151,118,95,94,86,103,47
,Bungalow,358,207,207,232,191,137,115,141,90,102,84,87,124,115,107,109,106,102,97,84,56
,Mobile Home,468,328,295,318,262,162,170,207,161,156,126,142,137,182,207,193,150,133,130,135,77
,Cottage,89,253,433,455,352,248,233,267,194,193,147,178,220,252,230,232,203,176,196,179,100
,Apartment,0,0,37,284,360,268,251,290,220,174,199,180,166,212,233,228,211,180,208,175,114
,Suburban Home,0,0,0,0,101,238,255,264,252,201,180,183,189,258,254,215,169,173,191,186,107
,Secluded Cabin,0,0,0,0,0,10,138,277,212,177,168,176,190,212,249,267,235,191,206,171,109
,Farmhouse,0,0,0,0,0,0,0,94,337,373,373,338,360,442,525,468,366,389,355,372,217
,Lake House,0,0,0,0,0,0,0,0,0,222,354,342,378,465,490,430,365,369,388,354,220
,Luxury Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,58,238,460,370,367,381,351,231
,Manor House,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189
,Self Storage Facility,0,0,0,0,63,195,154,138,100,122,61,83,74,89,70,69,77,65,54,33,74
,Funeral Directors,0,0,0,0,54,205,136,160,124,92,49,77,96,81,71,89,77,70,66,39,62
,Market,0,0,0,0,59,166,159,153,112,88,55,79,78,67,71,89,79,70,52,51,53
,Postal Office,0,0,0,0,50,178,161,144,150,96,56,74,97,98,56,67,83,75,65,44,66
,Cleaning Agency,0,0,0,0,0,119,235,271,261,198,123,151,171,173,159,141,187,159,118,73,126
,Barbershop,0,0,0,0,0,0,16,136,250,200,100,154,179,163,154,171,175,178,102,93,108
